trait,condition,model,axis,agreement_rate,cohen_kappa,n_compared,n_species,ceiling_kappa,roni_majority_frac,roni_distribution,trait_verdict
pulvinus,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.6250,0.0000,40,40,0.4813,0.5455,present:35;absent:42,model_gap
stem_texture,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.7385,0.0523,65,65,0.3333,0.7576,smooth:50;ridged:9;lenticellate:7,model_gap
stem_trichomes,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.8276,0.1967,58,58,0.3937,0.8226,present:11;absent:51,at_human_level
stem_type,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.9479,0.0000,96,96,0.0000,1.0000,woody:109,undecidable
stipules,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.6250,0.2500,8,8,0.1760,0.6515,present:23;absent:43,at_human_level
tendrils,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.9898,0.0000,98,98,0.0000,1.0000,absent:100,undecidable
venation,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.9252,0.2537,107,107,0.3229,0.9537,pinnate:103;parallel:5,at_human_level
compound_leaf_type,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.7500,0.3846,8,8,0.6736,0.7826,odd-pinnate:18;even-pinnate:5,at_human_level
damage,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,,,0,0,0.5214,0.7544,present:86;absent:28,undecidable
latex,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,,,0,0,,,,undecidable
leaf_apex,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.5310,0.1063,113,113,0.1993,0.5175,acute:53;obtuse:2;acuminate:59,model_gap
leaf_base,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.6239,0.1178,109,109,0.4797,0.6126,cuneate:68;rounded:24;cordate:19,model_gap
leaf_complexity_type,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.8407,0.3551,113,113,0.8513,0.8158,simple:93;compound:21,model_gap
leaf_margin,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.8108,0.3953,111,111,0.7955,0.7411,entire:83;toothed:29,model_gap
leaf_relative_position,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.3452,0.0678,84,84,0.5793,0.6000,alternate:66;opposite:44,model_gap
leaf_shape,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.5673,0.3256,104,104,0.1616,0.4825,elliptic:39;obovate:20;lanceolate:55,at_human_level
leaf_spacing,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.5189,0.1011,106,106,0.5426,0.5888,clustered:44;distal:63,model_gap
leaf_trichomes,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.9318,0.2235,88,88,0.2241,0.9333,present:6;absent:84,at_human_level
leaflet_arrangement,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.7273,-0.1000,11,11,0.8293,0.8261,opposite:19;alternate:3;subopposite:1,model_gap
petiole_features,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.8701,0.0000,77,77,0.6697,0.8837,winged:4;grooved:6;terete:76,model_gap
petiole_length,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.7748,0.2941,111,111,0.6779,0.7207,short:80;long:31,model_gap
pulvinus,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.6364,0.0000,33,33,0.4813,0.5455,present:35;absent:42,model_gap
stem_texture,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.7538,0.0000,65,65,0.3333,0.7576,smooth:50;ridged:9;lenticellate:7,model_gap
stem_trichomes,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.8214,0.2045,56,56,0.3937,0.8226,present:11;absent:51,at_human_level
stem_type,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.8495,0.0000,93,93,0.0000,1.0000,woody:109,undecidable
